Date, Time, Temp, Humidity, Pressure
2023-02-05, 14:51:30, 17.28 °C, 68.81% RH, 1031.60 hPa
2023-02-05, 14:51:40, 17.27 °C, 68.72% RH, 1031.60 hPa
2023-02-05, 14:51:50, 17.27 °C, 68.72% RH, 1031.60 hPa
2023-02-05, 14:52:00, 17.26 °C, 68.62% RH, 1031.59 hPa
2023-02-05, 14:52:10, 17.26 °C, 68.52% RH, 1031.59 hPa
2023-02-05, 14:52:20, 17.26 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:52:30, 17.24 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:52:40, 17.25 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:52:51, 17.24 °C, 68.43% RH, 1031.61 hPa
2023-02-05, 14:53:01, 17.22 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:53:11, 17.22 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:53:21, 17.21 °C, 68.52% RH, 1031.61 hPa
2023-02-05, 14:53:31, 17.21 °C, 68.52% RH, 1031.61 hPa
2023-02-05, 14:53:41, 17.21 °C, 68.52% RH, 1031.61 hPa
2023-02-05, 14:53:51, 17.21 °C, 68.52% RH, 1031.62 hPa
2023-02-05, 14:54:01, 17.21 °C, 68.43% RH, 1031.61 hPa
2023-02-05, 14:54:11, 17.21 °C, 68.52% RH, 1031.61 hPa
2023-02-05, 14:54:21, 17.20 °C, 68.72% RH, 1031.60 hPa
2023-02-05, 14:54:31, 17.19 °C, 68.52% RH, 1031.60 hPa
2023-02-05, 14:54:41, 17.19 °C, 68.43% RH, 1031.59 hPa
2023-02-05, 14:54:51, 17.19 °C, 68.33% RH, 1031.59 hPa
2023-02-05, 14:55:01, 17.19 °C, 68.24% RH, 1031.59 hPa
2023-02-05, 14:55:11, 17.18 °C, 68.24% RH, 1031.59 hPa
2023-02-05, 14:55:21, 17.17 °C, 68.14% RH, 1031.60 hPa
2023-02-05, 14:55:31, 17.18 °C, 68.33% RH, 1031.60 hPa
2023-02-05, 14:55:41, 17.19 °C, 68.33% RH, 1031.60 hPa
2023-02-05, 14:55:52, 17.18 °C, 68.33% RH, 1031.59 hPa
2023-02-05, 14:56:02, 17.18 °C, 68.52% RH, 1031.61 hPa
2023-02-05, 14:56:12, 17.17 °C, 68.72% RH, 1031.59 hPa
2023-02-05, 14:56:22, 17.17 °C, 68.62% RH, 1031.60 hPa
2023-02-05, 14:56:32, 17.15 °C, 68.43% RH, 1031.60 hPa
2023-02-05, 14:56:42, 17.14 °C, 68.24% RH, 1031.59 hPa
2023-02-05, 14:56:52, 17.14 °C, 68.14% RH, 1031.59 hPa
2023-02-05, 14:57:02, 17.15 °C, 68.05% RH, 1031.60 hPa
2023-02-05, 14:57:12, 17.14 °C, 68.05% RH, 1031.59 hPa
2023-02-05, 14:57:22, 17.16 °C, 68.05% RH, 1031.59 hPa
2023-02-05, 14:57:32, 17.14 °C, 67.95% RH, 1031.58 hPa
2023-02-05, 14:57:42, 17.13 °C, 67.85% RH, 1031.58 hPa
2023-02-05, 14:57:52, 17.12 °C, 67.76% RH, 1031.57 hPa
2023-02-05, 14:58:02, 17.12 °C, 67.76% RH, 1031.57 hPa
2023-02-05, 14:58:12, 17.13 °C, 67.95% RH, 1031.58 hPa
2023-02-05, 14:58:22, 17.11 °C, 67.85% RH, 1031.57 hPa
2023-02-05, 14:58:32, 17.11 °C, 67.76% RH, 1031.57 hPa
2023-02-05, 14:58:42, 17.08 °C, 67.66% RH, 1031.57 hPa
2023-02-05, 14:58:53, 17.08 °C, 67.66% RH, 1031.57 hPa
2023-02-05, 14:59:03, 17.08 °C, 67.57% RH, 1031.57 hPa
2023-02-05, 14:59:13, 17.08 °C, 67.57% RH, 1031.57 hPa
2023-02-05, 14:59:23, 17.09 °C, 67.57% RH, 1031.58 hPa
2023-02-05, 14:59:33, 17.08 °C, 67.57% RH, 1031.59 hPa
2023-02-05, 14:59:43, 17.09 °C, 67.85% RH, 1031.58 hPa
2023-02-05, 14:59:53, 17.10 °C, 68.05% RH, 1031.59 hPa
2023-02-05, 15:00:03, 17.08 °C, 68.05% RH, 1031.58 hPa
2023-02-05, 15:00:13, 17.07 °C, 67.85% RH, 1031.59 hPa
2023-02-05, 15:00:23, 17.07 °C, 67.66% RH, 1031.57 hPa
2023-02-05, 15:00:33, 17.07 °C, 67.47% RH, 1031.57 hPa
2023-02-05, 15:00:43, 17.06 °C, 67.28% RH, 1031.59 hPa
2023-02-05, 15:00:53, 17.06 °C, 67.18% RH, 1031.58 hPa
2023-02-05, 15:01:03, 17.06 °C, 67.38% RH, 1031.59 hPa
2023-02-05, 15:01:13, 17.06 °C, 67.38% RH, 1031.59 hPa
2023-02-05, 15:01:23, 17.05 °C, 67.28% RH, 1031.58 hPa
2023-02-05, 15:01:33, 17.04 °C, 67.18% RH, 1031.58 hPa
2023-02-05, 15:01:44, 17.05 °C, 67.18% RH, 1031.58 hPa
2023-02-05, 15:01:54, 17.04 °C, 67.18% RH, 1031.58 hPa
2023-02-05, 15:02:04, 17.04 °C, 67.09% RH, 1031.57 hPa
2023-02-05, 15:02:14, 17.03 °C, 67.09% RH, 1031.58 hPa
2023-02-05, 15:02:24, 17.03 °C, 67.18% RH, 1031.58 hPa
2023-02-05, 15:02:34, 17.02 °C, 67.38% RH, 1031.58 hPa
2023-02-05, 15:02:44, 17.03 °C, 67.38% RH, 1031.58 hPa
2023-02-05, 15:02:54, 17.01 °C, 67.38% RH, 1031.59 hPa
2023-02-05, 15:03:04, 17.02 °C, 67.28% RH, 1031.59 hPa
2023-02-05, 15:03:14, 17.01 °C, 67.09% RH, 1031.59 hPa
2023-02-05, 15:03:24, 17.02 °C, 67.09% RH, 1031.59 hPa
2023-02-05, 15:03:34, 17.01 °C, 66.99% RH, 1031.60 hPa
2023-02-05, 15:03:44, 17.01 °C, 66.89% RH, 1031.60 hPa
2023-02-05, 15:03:54, 17.02 °C, 66.99% RH, 1031.59 hPa
2023-02-05, 15:04:04, 17.01 °C, 66.99% RH, 1031.59 hPa
2023-02-05, 15:04:14, 17.02 °C, 66.99% RH, 1031.59 hPa
2023-02-05, 15:04:24, 17.00 °C, 66.89% RH, 1031.59 hPa
2023-02-05, 15:04:34, 17.00 °C, 66.89% RH, 1031.60 hPa
2023-02-05, 15:04:45, 17.00 °C, 66.80% RH, 1031.60 hPa
2023-02-05, 15:04:55, 17.00 °C, 66.80% RH, 1031.60 hPa
2023-02-05, 15:05:05, 17.00 °C, 66.71% RH, 1031.60 hPa
2023-02-05, 15:05:15, 17.01 °C, 66.99% RH, 1031.59 hPa
2023-02-05, 15:05:25, 17.01 °C, 67.09% RH, 1031.58 hPa
2023-02-05, 15:05:35, 17.00 °C, 66.99% RH, 1031.58 hPa
2023-02-05, 15:05:45, 17.00 °C, 66.89% RH, 1031.57 hPa
2023-02-05, 15:05:55, 17.01 °C, 66.99% RH, 1031.56 hPa
2023-02-05, 15:06:05, 17.01 °C, 66.99% RH, 1031.57 hPa
2023-02-05, 15:06:15, 17.02 °C, 66.89% RH, 1031.56 hPa
2023-02-05, 15:06:25, 17.02 °C, 66.89% RH, 1031.55 hPa
2023-02-05, 15:06:35, 17.01 °C, 66.71% RH, 1031.54 hPa
2023-02-05, 15:06:45, 17.01 °C, 66.61% RH, 1031.54 hPa
2023-02-05, 15:06:55, 17.00 °C, 66.61% RH, 1031.55 hPa
2023-02-05, 15:07:05, 17.01 °C, 66.51% RH, 1031.54 hPa
2023-02-05, 15:07:15, 17.00 °C, 66.42% RH, 1031.53 hPa
2023-02-05, 15:07:25, 17.00 °C, 66.42% RH, 1031.53 hPa
2023-02-05, 15:07:35, 16.99 °C, 66.42% RH, 1031.53 hPa
2023-02-05, 15:07:46, 16.99 °C, 66.32% RH, 1031.52 hPa
2023-02-05, 15:07:56, 16.98 °C, 66.22% RH, 1031.53 hPa
2023-02-05, 15:08:06, 16.99 °C, 66.13% RH, 1031.52 hPa
2023-02-05, 15:08:16, 16.98 °C, 66.13% RH, 1031.51 hPa
2023-02-05, 15:08:26, 16.96 °C, 66.13% RH, 1031.51 hPa
2023-02-05, 15:08:36, 16.94 °C, 66.13% RH, 1031.50 hPa
2023-02-05, 15:08:46, 16.95 °C, 66.13% RH, 1031.49 hPa
2023-02-05, 15:08:56, 16.94 °C, 66.22% RH, 1031.48 hPa
2023-02-05, 15:09:06, 16.93 °C, 66.32% RH, 1031.47 hPa
2023-02-05, 15:09:16, 16.92 °C, 66.32% RH, 1031.48 hPa
2023-02-05, 15:09:26, 16.93 °C, 66.22% RH, 1031.49 hPa
2023-02-05, 15:09:36, 16.93 °C, 66.32% RH, 1031.48 hPa
2023-02-05, 15:09:46, 16.94 °C, 66.32% RH, 1031.48 hPa
2023-02-05, 15:09:56, 16.92 °C, 66.42% RH, 1031.47 hPa
2023-02-05, 15:10:06, 16.92 °C, 66.32% RH, 1031.47 hPa
2023-02-05, 15:10:16, 16.92 °C, 66.22% RH, 1031.47 hPa
2023-02-05, 15:10:26, 16.90 °C, 66.32% RH, 1031.48 hPa
2023-02-05, 15:10:36, 16.92 °C, 66.42% RH, 1031.47 hPa
2023-02-05, 15:10:47, 16.90 °C, 66.42% RH, 1031.46 hPa
2023-02-05, 15:10:57, 16.91 °C, 66.42% RH, 1031.47 hPa
2023-02-05, 15:11:07, 16.91 °C, 66.32% RH, 1031.46 hPa
2023-02-05, 15:11:17, 16.91 °C, 66.29% RH, 1031.46 hPa
2023-02-05, 15:11:27, 16.92 °C, 66.32% RH, 1031.46 hPa
2023-02-05, 15:11:37, 16.92 °C, 66.32% RH, 1031.45 hPa
2023-02-05, 15:11:47, 16.90 °C, 66.22% RH, 1031.45 hPa
2023-02-05, 15:11:57, 16.92 °C, 66.13% RH, 1031.46 hPa
2023-02-05, 15:12:07, 16.90 °C, 66.00% RH, 1031.46 hPa
2023-02-05, 15:12:17, 16.89 °C, 65.91% RH, 1031.47 hPa
2023-02-05, 15:12:27, 16.89 °C, 65.91% RH, 1031.46 hPa
2023-02-05, 15:12:37, 16.88 °C, 65.81% RH, 1031.46 hPa
2023-02-05, 15:12:47, 16.87 °C, 65.81% RH, 1031.46 hPa
2023-02-05, 15:12:57, 16.88 °C, 65.81% RH, 1031.47 hPa
2023-02-05, 15:13:07, 16.88 °C, 65.81% RH, 1031.47 hPa
2023-02-05, 15:13:17, 16.87 °C, 65.81% RH, 1031.48 hPa
2023-02-05, 15:13:27, 16.87 °C, 65.81% RH, 1031.48 hPa
2023-02-05, 15:13:37, 16.86 °C, 65.71% RH, 1031.48 hPa
2023-02-05, 15:13:48, 16.86 °C, 65.71% RH, 1031.50 hPa
2023-02-05, 15:13:58, 16.85 °C, 65.62% RH, 1031.49 hPa
2023-02-05, 15:14:08, 16.85 °C, 65.62% RH, 1031.50 hPa
2023-02-05, 15:14:18, 16.85 °C, 65.62% RH, 1031.51 hPa
2023-02-05, 15:14:28, 16.85 °C, 65.81% RH, 1031.49 hPa
2023-02-05, 15:14:38, 16.85 °C, 65.91% RH, 1031.49 hPa
2023-02-05, 15:14:48, 16.86 °C, 65.91% RH, 1031.49 hPa
2023-02-05, 15:14:58, 16.85 °C, 65.81% RH, 1031.48 hPa
2023-02-05, 15:15:08, 16.84 °C, 65.71% RH, 1031.48 hPa
2023-02-05, 15:15:18, 16.84 °C, 65.71% RH, 1031.48 hPa
2023-02-05, 15:15:28, 16.84 °C, 65.62% RH, 1031.48 hPa
2023-02-05, 15:15:38, 16.84 °C, 65.52% RH, 1031.48 hPa
2023-02-05, 15:15:48, 16.84 °C, 65.52% RH, 1031.49 hPa
2023-02-05, 15:15:58, 16.84 °C, 65.42% RH, 1031.48 hPa
2023-02-05, 15:16:08, 16.85 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:16:18, 16.84 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:16:28, 16.85 °C, 65.42% RH, 1031.48 hPa
2023-02-05, 15:16:38, 16.84 °C, 65.42% RH, 1031.49 hPa
2023-02-05, 15:16:49, 16.83 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:16:59, 16.83 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:17:09, 16.83 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:17:19, 16.82 °C, 65.33% RH, 1031.47 hPa
2023-02-05, 15:17:29, 16.82 °C, 65.33% RH, 1031.47 hPa
2023-02-05, 15:17:39, 16.82 °C, 65.23% RH, 1031.46 hPa
2023-02-05, 15:17:49, 16.80 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:17:59, 16.80 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:18:09, 16.82 °C, 65.33% RH, 1031.45 hPa
2023-02-05, 15:18:19, 16.80 °C, 65.42% RH, 1031.44 hPa
2023-02-05, 15:18:29, 16.80 °C, 65.52% RH, 1031.45 hPa
2023-02-05, 15:18:39, 16.78 °C, 65.52% RH, 1031.45 hPa
2023-02-05, 15:18:49, 16.78 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:18:59, 16.78 °C, 65.42% RH, 1031.47 hPa
2023-02-05, 15:19:09, 16.77 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:19:19, 16.78 °C, 65.33% RH, 1031.47 hPa
2023-02-05, 15:19:29, 16.77 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:19:39, 16.77 °C, 65.33% RH, 1031.45 hPa
2023-02-05, 15:19:50, 16.76 °C, 65.33% RH, 1031.45 hPa
2023-02-05, 15:20:00, 16.75 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:20:10, 16.75 °C, 65.33% RH, 1031.46 hPa
2023-02-05, 15:20:20, 16.74 °C, 65.52% RH, 1031.45 hPa
2023-02-05, 15:20:30, 16.73 °C, 65.71% RH, 1031.45 hPa
2023-02-05, 15:20:40, 16.72 °C, 65.71% RH, 1031.45 hPa
2023-02-05, 15:20:50, 16.72 °C, 65.71% RH, 1031.46 hPa
2023-02-05, 15:21:00, 16.72 °C, 65.62% RH, 1031.45 hPa
2023-02-05, 15:21:10, 16.72 °C, 65.52% RH, 1031.45 hPa
2023-02-05, 15:21:20, 16.72 °C, 65.62% RH, 1031.45 hPa
2023-02-05, 15:21:30, 16.72 °C, 65.62% RH, 1031.46 hPa
2023-02-05, 15:21:40, 16.71 °C, 65.71% RH, 1031.46 hPa
2023-02-05, 15:21:50, 16.70 °C, 65.62% RH, 1031.45 hPa
2023-02-05, 15:22:00, 16.71 °C, 65.52% RH, 1031.45 hPa
2023-02-05, 15:22:10, 16.69 °C, 65.42% RH, 1031.44 hPa
2023-02-05, 15:22:20, 16.68 °C, 65.42% RH, 1031.45 hPa
2023-02-05, 15:22:30, 16.67 °C, 65.42% RH, 1031.44 hPa
2023-02-05, 15:22:41, 16.67 °C, 65.42% RH, 1031.44 hPa
2023-02-05, 15:22:51, 16.67 °C, 65.52% RH, 1031.43 hPa
2023-02-05, 15:23:01, 16.68 °C, 65.71% RH, 1031.43 hPa
2023-02-05, 15:23:11, 16.68 °C, 65.91% RH, 1031.44 hPa
2023-02-05, 15:23:21, 16.69 °C, 66.19% RH, 1031.42 hPa
2023-02-05, 15:23:31, 16.70 °C, 66.38% RH, 1031.42 hPa
2023-02-05, 15:23:41, 16.70 °C, 66.67% RH, 1031.42 hPa
2023-02-05, 15:23:51, 16.71 °C, 66.86% RH, 1031.41 hPa
2023-02-05, 15:24:01, 16.72 °C, 67.15% RH, 1031.40 hPa
2023-02-05, 15:24:11, 16.74 °C, 67.34% RH, 1031.41 hPa
2023-02-05, 15:24:21, 16.74 °C, 67.44% RH, 1031.40 hPa
2023-02-05, 15:24:31, 16.75 °C, 67.54% RH, 1031.40 hPa
2023-02-05, 15:24:41, 16.76 °C, 67.54% RH, 1031.39 hPa
2023-02-05, 15:24:51, 16.76 °C, 67.63% RH, 1031.38 hPa
2023-02-05, 15:25:01, 16.76 °C, 67.63% RH, 1031.39 hPa
2023-02-05, 15:25:11, 16.77 °C, 67.72% RH, 1031.38 hPa
2023-02-05, 15:25:21, 16.79 °C, 67.82% RH, 1031.37 hPa
2023-02-05, 15:25:31, 16.77 °C, 67.82% RH, 1031.37 hPa
2023-02-05, 15:25:42, 16.77 °C, 67.82% RH, 1031.36 hPa
2023-02-05, 15:25:52, 16.77 °C, 67.91% RH, 1031.35 hPa
2023-02-05, 15:26:02, 16.78 °C, 67.91% RH, 1031.35 hPa
2023-02-05, 15:26:12, 16.79 °C, 67.91% RH, 1031.35 hPa
2023-02-05, 15:26:22, 16.79 °C, 68.01% RH, 1031.35 hPa
2023-02-05, 15:26:32, 16.79 °C, 68.01% RH, 1031.35 hPa
2023-02-05, 15:26:42, 16.80 °C, 68.11% RH, 1031.33 hPa
2023-02-05, 15:26:52, 16.80 °C, 68.11% RH, 1031.34 hPa
2023-02-05, 15:27:02, 16.80 °C, 68.11% RH, 1031.34 hPa
2023-02-05, 15:27:12, 16.81 °C, 68.21% RH, 1031.34 hPa
2023-02-05, 15:27:22, 16.82 °C, 68.21% RH, 1031.34 hPa
2023-02-05, 15:27:32, 16.81 °C, 68.21% RH, 1031.34 hPa
2023-02-05, 15:27:42, 16.81 °C, 68.21% RH, 1031.34 hPa
2023-02-05, 15:27:52, 16.81 °C, 68.30% RH, 1031.33 hPa
2023-02-05, 15:28:02, 16.81 °C, 68.30% RH, 1031.33 hPa
2023-02-05, 15:28:12, 16.82 °C, 68.30% RH, 1031.33 hPa
2023-02-05, 15:28:22, 16.83 °C, 68.30% RH, 1031.34 hPa
2023-02-05, 15:28:32, 16.84 °C, 68.40% RH, 1031.34 hPa
2023-02-05, 15:28:43, 16.85 °C, 68.40% RH, 1031.34 hPa
2023-02-05, 15:28:53, 16.85 °C, 68.49% RH, 1031.33 hPa
2023-02-05, 15:29:03, 16.86 °C, 68.49% RH, 1031.34 hPa
2023-02-05, 15:29:13, 16.87 °C, 68.59% RH, 1031.32 hPa
2023-02-05, 15:29:23, 16.86 °C, 68.59% RH, 1031.33 hPa
2023-02-05, 15:29:33, 16.87 °C, 68.68% RH, 1031.34 hPa
2023-02-05, 15:29:43, 16.88 °C, 68.68% RH, 1031.33 hPa
2023-02-05, 15:29:53, 16.88 °C, 68.78% RH, 1031.33 hPa
2023-02-05, 15:30:03, 16.88 °C, 68.78% RH, 1031.34 hPa
2023-02-05, 15:30:13, 16.88 °C, 68.78% RH, 1031.34 hPa
2023-02-05, 15:30:23, 16.88 °C, 68.78% RH, 1031.34 hPa
2023-02-05, 15:30:33, 16.88 °C, 68.78% RH, 1031.35 hPa
2023-02-05, 15:30:43, 16.88 °C, 68.87% RH, 1031.34 hPa
2023-02-05, 15:30:53, 16.88 °C, 68.87% RH, 1031.34 hPa
2023-02-05, 15:31:03, 16.89 °C, 68.97% RH, 1031.34 hPa
2023-02-05, 15:31:13, 16.90 °C, 68.97% RH, 1031.34 hPa
2023-02-05, 15:31:23, 16.91 °C, 69.07% RH, 1031.34 hPa
2023-02-05, 15:31:33, 16.91 °C, 69.07% RH, 1031.34 hPa
2023-02-05, 15:31:44, 16.91 °C, 69.07% RH, 1031.34 hPa
2023-02-05, 15:31:54, 16.92 °C, 69.20% RH, 1031.35 hPa
2023-02-05, 15:32:04, 16.92 °C, 69.17% RH, 1031.35 hPa
2023-02-05, 15:32:14, 16.92 °C, 69.17% RH, 1031.34 hPa
2023-02-05, 15:32:24, 16.91 °C, 69.17% RH, 1031.34 hPa
2023-02-05, 15:32:34, 16.90 °C, 69.07% RH, 1031.34 hPa
2023-02-05, 15:32:44, 16.90 °C, 69.07% RH, 1031.33 hPa
2023-02-05, 15:32:54, 16.89 °C, 69.07% RH, 1031.32 hPa
2023-02-05, 15:33:04, 16.90 °C, 69.07% RH, 1031.33 hPa
2023-02-05, 15:33:14, 16.90 °C, 69.17% RH, 1031.33 hPa
2023-02-05, 15:33:24, 16.90 °C, 69.17% RH, 1031.32 hPa
2023-02-05, 15:33:34, 16.89 °C, 69.26% RH, 1031.31 hPa
2023-02-05, 15:33:44, 16.88 °C, 69.35% RH, 1031.31 hPa
2023-02-05, 15:33:54, 16.89 °C, 69.45% RH, 1031.30 hPa
2023-02-05, 15:34:04, 16.90 °C, 69.54% RH, 1031.30 hPa
